gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,46,No,No phone service,DSL,Month-to-month,No,Bank transfer (automatic),70.6,3325.21,No
Male,0,Yes,No,2,Yes,Yes,DSL,Two year,No,Bank transfer (automatic),83.82,198.92,No
Male,0,No,No,0,Yes,No,No,Two year,No,Mailed check,116.46,1.71,No
Male,0,Yes,Yes,23,Yes,Yes,No,One year,No,Mailed check,102.97,2368.31,No
Male,0,Yes,No,34,No,Yes,Fiber optic,Two year,Yes,Mailed check,91.15,3099.1,No
Male,0,No,Yes,13,No,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),66.85,869.05,Yes
Female,0,No,Yes,66,Yes,No,Fiber optic,Two year,No,Electronic check,58.0,3887.45,No
Male,0,Yes,Yes,12,Yes,No,No,Month-to-month,Yes,Electronic check,21.32,255.84,Yes
Male,0,No,No,46,Yes,No,No,One year,No,Electronic check,54.63,2512.98,No
Female,1,No,No,49,No,Yes,No,One year,Yes,Credit card (automatic),104.53,5134.28,No
Female,0,No,No,25,Yes,No,No,Month-to-month,No,Electronic check,57.17,1429.25,No
Female,0,Yes,No,2,Yes,No,No,Month-to-month,Yes,Mailed check,65.08,178.09,Yes
Male,0,No,No,50,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,45.73,2286.5,Yes
Female,0,Yes,No,39,Yes,Yes,No,Two year,Yes,Credit card (automatic),45.96,1792.44,No
Male,0,Yes,No,67,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),24.31,1636.31,No
Male,0,Yes,No,35,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.61,2861.72,Yes
Male,1,No,Yes,50,No,Yes,Fiber optic,Two year,No,Credit card (automatic),63.7,3256.9,No
Male,0,No,Yes,0,Yes,No,DSL,Month-to-month,No,Credit card (automatic),79.81,27.63,Yes
Female,0,No,No,32,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,73.78,2418.62,Yes
Female,1,No,No,6,Yes,No,Fiber optic,One year,No,Credit card (automatic),99.48,621.42,No
Male,0,No,Yes,51,Yes,No phone service,DSL,Month-to-month,No,Credit card (automatic),94.6,4824.6,No
Male,0,Yes,Yes,10,Yes,No,Fiber optic,Two year,Yes,Electronic check,96.69,966.9,Yes
Male,0,Yes,No,26,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,68.92,1791.92,No
Female,0,Yes,No,13,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,54.1,703.3,No
Male,0,No,No,45,Yes,No,Fiber optic,One year,No,Credit card (automatic),113.21,5127.09,No
Male,1,Yes,No,9,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),23.54,211.86,No
Female,0,Yes,No,23,No,No,No,Two year,No,Bank transfer (automatic),33.57,836.81,No
Female,0,No,No,60,Yes,No phone service,Fiber optic,Two year,Yes,Electronic check,60.8,3648.0,No
Male,0,No,No,17,Yes,No,DSL,Month-to-month,Yes,Electronic check,80.62,1370.54,No
Female,0,Yes,Yes,8,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,18.84,150.72,No
Female,1,Yes,No,16,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),91.37,1544.97,No
Male,0,No,Yes,57,No,Yes,DSL,Month-to-month,Yes,Electronic check,74.99,4333.53,No
Female,0,No,Yes,12,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),67.44,809.28,Yes
Male,0,No,No,49,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),61.2,3045.25,No
Female,0,No,No,5,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),70.99,354.95,Yes
Male,0,Yes,No,50,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),34.5,1725.0,No
Male,0,Yes,Yes,35,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),29.09,1018.15,Yes
Male,0,No,No,70,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,47.54,3327.8,No
Female,0,Yes,No,24,No,No,No,One year,Yes,Electronic check,90.37,2168.88,No
Male,0,Yes,No,10,Yes,No,DSL,Month-to-month,Yes,Electronic check,78.01,783.17,No
Female,0,No,Yes,43,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,66.97,2960.13,No
Male,0,Yes,No,13,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),76.3,1105.82,Yes
Male,0,Yes,No,28,Yes,No,DSL,Two year,Yes,Credit card (automatic),75.04,2101.12,No
Female,0,Yes,Yes,49,No,Yes,Fiber optic,Month-to-month,Yes,Mailed check,49.32,2439.65,No
Male,0,No,No,4,Yes,No,DSL,Two year,Yes,Mailed check,27.94,122.24,No
Male,0,No,No,71,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),109.47,7798.89,No
Female,0,Yes,Yes,68,Yes,No,DSL,Two year,No,Bank transfer (automatic),79.19,5384.92,No
Male,0,No,Yes,56,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),89.17,5020.73,No
Male,0,No,Yes,25,Yes,No phone service,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),65.33,1633.25,Yes
Male,1,No,No,5,Yes,No,DSL,Two year,Yes,Electronic check,95.16,644.91,Yes
Male,0,Yes,Yes,15,Yes,Yes,No,One year,Yes,Electronic check,77.62,1178.83,Yes
Female,0,Yes,No,59,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),23.49,1422.41,No
Female,0,No,No,11,Yes,No,DSL,Month-to-month,No,Bank transfer (automatic),108.79,1196.69,Yes
Male,0,Yes,No,2,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),49.16,98.32,No
Female,0,Yes,Yes,62,Yes,No,Fiber optic,One year,Yes,Mailed check,32.06,1987.72,No
Male,0,Yes,Yes,63,Yes,No,Fiber optic,One year,No,Bank transfer (automatic),26.98,1772.55,No
Female,1,Yes,No,61,Yes,Yes,DSL,One year,No,Electronic check,91.48,5580.28,No
Male,0,Yes,No,5,Yes,No,No,One year,No,Credit card (automatic),89.8,449.0,Yes
Male,1,No,No,18,No,Yes,Fiber optic,Two year,Yes,Electronic check,89.42,1609.56,Yes
Male,0,Yes,Yes,17,Yes,Yes,DSL,One year,Yes,Credit card (automatic),111.41,1917.63,Yes
Male,0,Yes,No,42,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,53.59,2250.78,Yes
Male,1,Yes,No,72,Yes,No,No,Two year,No,Mailed check,75.24,5460.26,No
Male,0,No,Yes,2,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,81.19,224.63,Yes
Female,0,No,No,71,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),117.91,8371.61,No
Male,0,No,No,37,Yes,No,Fiber optic,One year,No,Bank transfer (automatic),49.86,1844.82,No
Female,0,Yes,Yes,67,Yes,No,DSL,Month-to-month,No,Electronic check,115.55,7773.18,Yes
Male,0,No,No,43,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),33.17,1439.09,No
Female,0,No,No,62,Yes,No,No,Month-to-month,No,Bank transfer (automatic),95.93,5947.66,No
Female,0,No,Yes,41,Yes,No,Fiber optic,One year,No,Electronic check,82.55,3419.61,Yes
Female,0,No,No,63,Yes,Yes,Fiber optic,Two year,Yes,Electronic check,101.32,6458.79,No
Male,0,Yes,No,53,Yes,No,No,One year,No,Mailed check,20.93,1184.77,No
Male,0,No,No,70,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,25.97,1846.66,No
Female,0,No,Yes,36,Yes,No,Fiber optic,Month-to-month,No,Mailed check,25.11,942.26,No
Male,0,Yes,No,3,Yes,No,DSL,Month-to-month,No,Mailed check,78.48,235.44,Yes
Female,0,Yes,No,1,Yes,No phone service,Fiber optic,Month-to-month,Yes,Credit card (automatic),79.5,79.5,Yes
Male,0,No,No,43,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),110.42,4748.06,Yes
Female,1,Yes,Yes,66,Yes,No,Fiber optic,Month-to-month,No,Electronic check,65.7,4449.42,Yes
Female,0,No,No,67,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),24.94,1670.98,No
Male,0,Yes,No,61,Yes,No,No,Month-to-month,Yes,Credit card (automatic),39.37,2423.29,No
Female,0,Yes,No,0,Yes,No,Fiber optic,One year,Yes,Electronic check,18.82,18.89,No
Male,0,No,No,16,Yes,No,Fiber optic,Two year,No,Electronic check,97.22,1555.52,No
Female,0,Yes,Yes,15,Yes,No,Fiber optic,Two year,No,Credit card (automatic),101.19,1592.03,Yes
Female,0,No,Yes,8,Yes,No,DSL,One year,Yes,Bank transfer (automatic),119.79,1037.76,Yes
Male,0,Yes,No,52,Yes,Yes,DSL,Month-to-month,No,Mailed check,60.04,3255.43,No
Male,0,No,Yes,72,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),19.97,1437.84,No
Male,0,Yes,No,58,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),41.94,2452.87,No
Female,1,Yes,Yes,8,Yes,No,No,One year,No,Electronic check,77.95,628.03,Yes
Male,1,Yes,No,11,Yes,Yes,DSL,Two year,Yes,Mailed check,116.12,1277.32,No
Female,0,Yes,No,40,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),28.57,1142.8,No
Female,0,Yes,No,14,Yes,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),30.4,433.94,No
Male,0,No,No,65,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),89.58,5822.7,No
Male,0,Yes,Yes,10,No,No,No,One year,No,Bank transfer (automatic),86.06,860.6,Yes
Female,0,No,No,7,Yes,Yes,No,Month-to-month,Yes,Electronic check,43.55,311.03,No
Female,0,No,Yes,54,Yes,Yes,DSL,Two year,No,Credit card (automatic),100.94,5450.76,No
Male,0,No,No,5,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),31.14,155.7,No
Male,0,Yes,No,52,Yes,No,DSL,Two year,No,Electronic check,112.43,5864.45,No
Male,0,No,No,19,Yes,No phone service,Fiber optic,Month-to-month,Yes,Electronic check,38.51,731.69,Yes
Male,0,Yes,No,38,Yes,No,Fiber optic,Month-to-month,No,Electronic check,26.3,999.4,No
Male,0,No,No,71,Yes,Yes,Fiber optic,Two year,No,Credit card (automatic),52.63,3827.17,No
Female,1,No,No,33,Yes,No phone service,Fiber optic,Month-to-month,No,Electronic check,37.16,1296.41,Yes
Female,0,No,No,56,Yes,No,Fiber optic,Two year,No,Electronic check,71.75,4022.12,No
Female,0,No,No,18,No,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),88.06,1585.08,Yes
Female,0,No,Yes,70,Yes,No,Fiber optic,Two year,Yes,Electronic check,68.07,4805.44,No
Male,0,Yes,No,30,No,Yes,Fiber optic,One year,No,Credit card (automatic),85.38,2687.71,No
Male,0,No,No,39,Yes,No,DSL,One year,No,Mailed check,55.22,2221.83,No
Male,0,No,Yes,13,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,20.85,271.05,Yes
Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),117.35,4224.6,Yes
Female,0,Yes,Yes,43,No,No,Fiber optic,Two year,No,Electronic check,101.58,4367.94,Yes
Male,0,Yes,No,8,Yes,No,No,Month-to-month,Yes,Credit card (automatic),25.49,203.92,Yes
Male,0,No,Yes,57,Yes,No,No,Month-to-month,Yes,Electronic check,63.82,3694.49,Yes
Female,0,No,Yes,19,Yes,No,No,One year,Yes,Bank transfer (automatic),82.77,1628.33,No
Female,0,No,Yes,49,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,37.44,1923.33,Yes
Male,0,No,No,19,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,76.95,1495.97,Yes
Male,1,No,No,35,No,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),72.43,2535.05,No
Female,0,No,No,26,Yes,No,DSL,Month-to-month,No,Credit card (automatic),39.24,1029.63,No
Male,0,Yes,No,71,Yes,No,Fiber optic,Two year,No,Mailed check,32.4,2300.4,No
Male,0,Yes,No,31,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),95.41,3026.21,No
Male,0,No,Yes,0,Yes,No phone service,DSL,Two year,Yes,Bank transfer (automatic),50.9,0.0,No
Female,0,No,Yes,16,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,42.89,686.24,Yes
Female,0,No,Yes,8,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.26,746.08,No
Female,1,No,Yes,44,Yes,No,DSL,One year,No,Mailed check,93.08,4095.52,No
Female,0,No,No,65,Yes,Yes,No,Month-to-month,No,Mailed check,46.19,3045.73,No
Female,0,Yes,No,31,Yes,No,DSL,One year,Yes,Bank transfer (automatic),107.0,3317.0,No
Female,0,Yes,No,44,Yes,No,DSL,Two year,Yes,Bank transfer (automatic),88.2,3915.27,No
Female,0,No,No,8,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,53.27,426.16,Yes
Male,0,Yes,No,29,Yes,No,Fiber optic,Two year,No,Mailed check,61.6,1786.4,No
Male,0,No,Yes,37,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,92.12,3408.44,Yes
Male,0,No,Yes,59,Yes,No,DSL,Month-to-month,No,Mailed check,39.58,2404.64,No
Male,0,No,No,0,Yes,No phone service,Fiber optic,Month-to-month,Yes,Mailed check,65.81,80.56,No
Male,0,Yes,No,4,Yes,Yes,DSL,Two year,No,Bank transfer (automatic),84.66,388.63,No
Male,1,Yes,Yes,62,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),73.03,4541.12,Yes
Male,0,No,No,35,Yes,No phone service,Fiber optic,Two year,Yes,Electronic check,80.05,2808.54,No
Female,1,Yes,No,64,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,73.71,4771.77,No
Female,0,Yes,No,72,Yes,No,No,Month-to-month,No,Credit card (automatic),38.32,2759.04,No
Male,1,No,No,23,Yes,No,DSL,Month-to-month,Yes,Electronic check,59.84,1442.2,Yes
Male,0,Yes,No,3,Yes,No,Fiber optic,Two year,No,Bank transfer (automatic),72.26,216.78,No
Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,One year,Yes,Electronic check,97.57,6586.27,No
Male,1,No,No,24,Yes,Yes,No,Month-to-month,No,Electronic check,84.7,2097.05,Yes
Male,0,No,Yes,6,No,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),61.51,369.06,No
Female,1,Yes,No,12,Yes,No,Fiber optic,Month-to-month,No,Mailed check,117.39,1408.68,Yes
Male,0,No,No,67,Yes,No,DSL,Two year,Yes,Bank transfer (automatic),29.0,1943.0,No
Female,0,Yes,No,42,Yes,No,Fiber optic,Two year,No,Bank transfer (automatic),39.09,1662.94,Yes
Male,0,No,No,56,Yes,No,Fiber optic,One year,Yes,Credit card (automatic),52.81,2957.36,No
Female,0,No,No,35,Yes,Yes,Fiber optic,Two year,No,Credit card (automatic),41.31,1450.46,No
Female,0,No,No,13,Yes,Yes,No,Month-to-month,No,Credit card (automatic),81.8,1063.4,Yes
Female,0,No,No,71,Yes,No,DSL,One year,Yes,Mailed check,22.03,1602.38,No
Male,0,Yes,No,26,Yes,No,No,One year,Yes,Electronic check,36.1,979.2,Yes
Female,0,No,No,36,Yes,Yes,No,Month-to-month,No,Credit card (automatic),47.92,1801.17,Yes
Male,0,No,Yes,70,Yes,Yes,Fiber optic,One year,No,Bank transfer (automatic),87.7,6167.69,No
Male,0,No,No,24,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),107.34,2576.16,No
Male,0,Yes,No,66,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),99.45,6563.7,Yes
Male,0,Yes,Yes,3,Yes,No,No,Month-to-month,Yes,Mailed check,36.57,109.71,No
Female,0,No,Yes,15,Yes,No phone service,DSL,Month-to-month,Yes,Credit card (automatic),75.67,1135.05,No
Female,0,No,No,18,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),21.06,379.08,Yes
Male,0,No,Yes,28,Yes,No phone service,Fiber optic,Two year,No,Electronic check,49.67,1390.76,No
Male,0,No,No,50,Yes,No phone service,No,Month-to-month,Yes,Mailed check,100.21,5010.5,No
Female,1,No,No,17,Yes,No,No,One year,Yes,Bank transfer (automatic),64.58,1097.86,No
Male,0,No,No,57,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,33.29,1897.53,No
Female,0,Yes,Yes,43,Yes,No,DSL,Month-to-month,Yes,Electronic check,62.73,2708.31,No
Male,0,No,No,15,No,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),38.2,586.32,Yes
Male,0,No,No,64,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),58.11,3762.28,No
Female,0,No,No,1,Yes,Yes,No,One year,Yes,Electronic check,67.76,75.51,Yes
Male,0,No,No,55,Yes,No,Fiber optic,One year,Yes,Mailed check,53.65,2952.3,No
Female,0,No,No,27,Yes,Yes,Fiber optic,Month-to-month,No,Electronic check,113.57,3098.24,Yes
Male,0,No,No,64,Yes,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),75.38,4833.84,Yes
Male,1,Yes,No,4,Yes,No,Fiber optic,Two year,Yes,Mailed check,103.98,415.92,Yes
Male,1,Yes,No,21,No,No,DSL,Month-to-month,Yes,Mailed check,95.59,2007.39,No
Female,0,Yes,No,12,Yes,No,DSL,Month-to-month,Yes,Mailed check,85.44,1109.11,Yes
Male,0,Yes,No,64,Yes,No,DSL,One year,Yes,Bank transfer (automatic),68.68,4556.37,No
Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,18.22,310.11,No
Male,0,Yes,Yes,63,Yes,Yes,DSL,Two year,No,Credit card (automatic),80.57,5075.91,No
Male,0,No,No,31,Yes,No,Fiber optic,One year,No,Bank transfer (automatic),54.31,1778.56,Yes
Female,0,No,No,50,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),30.01,1500.5,No
Female,0,No,No,57,Yes,No,Fiber optic,Month-to-month,No,Mailed check,63.35,3632.2,Yes
Male,0,No,No,45,Yes,No,DSL,One year,Yes,Bank transfer (automatic),93.03,4186.35,No
Female,0,No,Yes,51,Yes,No,DSL,Month-to-month,Yes,Electronic check,116.09,5929.89,No
Male,1,No,No,62,Yes,No phone service,DSL,Two year,Yes,Bank transfer (automatic),56.16,3481.92,No
Male,1,Yes,Yes,59,No,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),73.36,4393.13,No
Male,0,No,No,64,Yes,Yes,DSL,Month-to-month,Yes,Mailed check,104.83,6709.12,Yes
Female,0,Yes,No,54,Yes,No,No,One year,No,Mailed check,52.07,2842.41,No
Female,1,Yes,No,56,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),32.51,1850.11,No
Female,0,No,No,70,Yes,Yes,DSL,Month-to-month,No,Mailed check,46.75,3272.5,No
Female,0,No,No,72,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),109.71,7899.12,No
Female,0,No,No,25,Yes,Yes,Fiber optic,One year,Yes,Credit card (automatic),34.26,856.5,No
Female,0,No,Yes,11,No,Yes,Fiber optic,One year,Yes,Credit card (automatic),51.58,602.98,No
Female,0,No,Yes,70,Yes,Yes,DSL,Month-to-month,No,Bank transfer (automatic),65.39,4592.67,No
Female,1,No,No,45,Yes,No,DSL,One year,Yes,Electronic check,104.41,4698.45,Yes
Female,1,No,No,46,Yes,No,DSL,Month-to-month,No,Electronic check,113.65,5230.09,Yes
Male,0,Yes,No,37,Yes,No,Fiber optic,One year,No,Mailed check,61.43,2283.39,No
Female,0,No,No,20,Yes,No,No,One year,No,Electronic check,113.06,2290.34,Yes
Female,1,No,No,13,Yes,Yes,Fiber optic,One year,Yes,Electronic check,34.47,539.12,No
Female,0,Yes,No,1,Yes,Yes,No,Two year,No,Bank transfer (automatic),34.0,34.0,No
Female,1,No,No,71,Yes,Yes,DSL,Two year,Yes,Mailed check,114.82,8212.75,No
Female,0,No,Yes,69,Yes,No,DSL,Two year,No,Electronic check,69.99,4840.17,No
Female,0,Yes,Yes,32,Yes,No,Fiber optic,Two year,Yes,Credit card (automatic),36.96,1182.72,No
Female,0,No,No,5,Yes,Yes,DSL,Two year,Yes,Mailed check,67.78,347.14,No
Female,0,No,Yes,36,Yes,Yes,DSL,Two year,Yes,Mailed check,97.89,3596.36,No
Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Two year,Yes,Mailed check,102.35,1417.83,Yes
Female,0,No,Yes,36,Yes,No,DSL,One year,Yes,Credit card (automatic),106.12,3820.32,Yes
Female,0,No,No,7,Yes,No,Fiber optic,Month-to-month,No,Electronic check,76.1,532.7,Yes
Male,0,No,No,12,Yes,Yes,DSL,Month-to-month,No,Credit card (automatic),106.43,1277.16,Yes
Male,0,Yes,No,39,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,70.02,2742.43,No
Female,1,No,No,57,Yes,No,No,Month-to-month,Yes,Mailed check,79.92,4569.56,Yes
Female,1,No,No,17,Yes,No,DSL,Two year,Yes,Bank transfer (automatic),95.39,1671.0,Yes
Male,0,Yes,No,56,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),61.39,3459.91,No
Female,0,Yes,Yes,37,Yes,No,Fiber optic,Month-to-month,No,Bank transfer (automatic),25.51,988.54,No
Male,0,No,Yes,31,Yes,No,No,One year,No,Bank transfer (automatic),53.72,1665.32,No
Male,0,Yes,No,65,Yes,No,DSL,Two year,Yes,Mailed check,81.64,5394.24,No
Male,1,No,No,24,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),37.62,967.74,Yes
Male,0,No,No,57,Yes,Yes,Fiber optic,Two year,No,Bank transfer (automatic),33.14,1888.98,No
Male,0,Yes,No,32,No,No,Fiber optic,Two year,No,Credit card (automatic),47.89,1532.48,No
Female,1,No,No,65,Yes,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),21.28,1420.51,No
Male,0,No,Yes,29,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,93.83,2721.07,Yes
Female,1,Yes,Yes,33,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.39,1464.87,No
Female,1,Yes,Yes,68,Yes,No phone service,Fiber optic,Month-to-month,Yes,Credit card (automatic),30.67,2085.56,No
Male,0,Yes,Yes,47,Yes,No,DSL,Month-to-month,Yes,Bank transfer (automatic),89.31,4197.57,No
Male,1,Yes,No,39,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,103.98,4055.22,Yes
Female,0,No,Yes,50,Yes,No,Fiber optic,Month-to-month,No,Credit card (automatic),20.03,1001.5,No
Male,0,Yes,Yes,12,No,No,Fiber optic,Two year,Yes,Credit card (automatic),41.83,501.96,No
Male,0,Yes,No,30,Yes,No,Fiber optic,One year,No,Credit card (automatic),114.41,3432.3,Yes
Female,1,Yes,No,38,Yes,No,No,One year,Yes,Mailed check,57.3,2177.4,No
Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),113.74,7079.01,No
Male,0,Yes,Yes,47,Yes,No,DSL,Two year,Yes,Mailed check,45.97,2216.9,No
Female,0,No,No,47,No,No,DSL,Two year,Yes,Electronic check,40.24,1911.36,No
Male,0,Yes,No,60,Yes,No,No,Month-to-month,No,Credit card (automatic),39.84,2459.54,No
Male,0,No,No,11,Yes,Yes,Fiber optic,Two year,Yes,Credit card (automatic),26.69,293.59,No
Male,0,Yes,No,55,Yes,No,No,Two year,Yes,Credit card (automatic),109.44,6019.2,No
Female,0,Yes,No,17,Yes,No,DSL,One year,No,Electronic check,117.94,2027.09,Yes
Female,0,Yes,No,26,Yes,No phone service,Fiber optic,One year,Yes,Mailed check,115.36,3027.97,No
Female,0,Yes,No,27,Yes,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),104.91,2833.33,No
Female,0,Yes,No,51,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,104.38,5323.38,Yes
Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.43,1281.45,Yes
Male,1,Yes,No,57,Yes,No,Fiber optic,Month-to-month,Yes,Electronic check,102.27,5829.39,Yes
Male,0,Yes,No,8,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,39.25,341.88,Yes
Male,1,No,Yes,25,Yes,No,No,Two year,No,Mailed check,57.57,1488.34,No
Male,0,Yes,No,27,Yes,No,No,Month-to-month,No,Mailed check,83.37,2250.99,No
Female,0,No,Yes,35,Yes,No,No,Two year,Yes,Mailed check,107.23,3753.05,No
Male,0,Yes,No,8,Yes,No,No,One year,Yes,Mailed check,85.37,682.96,No
Female,0,No,No,46,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),103.58,4764.68,Yes
Male,0,Yes,No,50,No,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),66.34,3367.31,No
Female,0,Yes,No,56,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.16,5104.96,No
Female,0,Yes,Yes,31,Yes,No phone service,Fiber optic,Two year,No,Mailed check,117.96,3689.03,No
Male,0,No,No,66,Yes,No,DSL,Two year,No,Mailed check,33.66,2221.56,No
Male,0,No,No,56,Yes,No,Fiber optic,Month-to-month,Yes,Credit card (automatic),112.55,6302.8,No
Male,0,No,No,53,Yes,Yes,DSL,Two year,No,Mailed check,71.28,3777.84,No
Male,0,No,No,15,No,Yes,Fiber optic,One year,Yes,Credit card (automatic),83.61,1336.12,Yes
Female,0,Yes,No,61,Yes,Yes,DSL,Month-to-month,Yes,Credit card (automatic),107.54,6559.94,Yes
Male,1,Yes,No,55,Yes,Yes,DSL,One year,Yes,Electronic check,59.78,3287.9,No
Male,0,Yes,Yes,22,Yes,No,No,One year,Yes,Electronic check,60.71,1336.02,Yes
Female,0,No,No,16,Yes,Yes,Fiber optic,Month-to-month,No,Mailed check,71.77,1158.19,Yes
Male,0,Yes,No,37,Yes,No,No,One year,Yes,Credit card (automatic),19.95,815.27,No
Male,0,No,No,71,Yes,Yes,Fiber optic,Month-to-month,Yes,Mailed check,68.66,4874.86,No
Male,0,No,Yes,29,Yes,Yes,No,Month-to-month,No,Electronic check,47.69,1383.54,Yes
Male,0,No,Yes,57,Yes,No phone service,Fiber optic,Month-to-month,Yes,Electronic check,112.65,6458.98,No
Male,0,No,No,21,Yes,Yes,Fiber optic,Two year,Yes,Electronic check,26.95,565.95,No
Female,0,No,No,16,Yes,Yes,No,One year,Yes,Electronic check,64.85,1041.25,No
Male,0,Yes,No,14,Yes,Yes,DSL,Month-to-month,Yes,Electronic check,114.64,1654.07,Yes
Male,0,No,No,47,Yes,Yes,No,Month-to-month,No,Mailed check,109.91,5165.77,No
Male,1,No,No,31,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,89.54,2775.74,No
Male,0,Yes,No,39,Yes,Yes,Fiber optic,Two year,No,Electronic check,78.11,3046.29,No
Male,1,No,Yes,56,Yes,No,DSL,Month-to-month,Yes,Mailed check,46.63,2658.63,No
Female,0,No,No,57,Yes,No,Fiber optic,Two year,Yes,Electronic check,55.43,3167.44,Yes
Male,0,Yes,Yes,15,Yes,No,Fiber optic,Two year,Yes,Electronic check,27.19,407.85,Yes
Female,0,Yes,No,27,Yes,Yes,No,One year,No,Electronic check,98.18,2650.86,Yes
Female,0,Yes,No,0,Yes,No,No,Month-to-month,Yes,Mailed check,51.03,0.0,Yes
Male,0,No,No,40,Yes,Yes,No,Month-to-month,No,Mailed check,86.11,3461.11,Yes
